#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
5.4% 325000 -76808.67369401651 14557.885588037609 -62250.78810597891 301.6208629109829 809 20:23
5.5% 330000 -76527.79944581768 14680.333528476916 -61847.46591734077 304.15782840872834 808 20:23
5.5% 335000 -76837.66077175211 13960.567604004931 -62877.09316774718 289.24519443312187 807 20:23
5.6% 340000 -76781.07221043792 14624.1170405633 -62156.95516987462 302.99309432067764 807 20:22
5.7% 345000 -76095.81838504881 14553.249019936793 -61542.569365112024 301.524799120465 806 20:22
5.8% 350000 -76016.47225265906 14557.619552415661 -61458.8527002434 301.61535099145505 806 20:22
5.9% 355000 -76651.01710180979 14753.761750583353 -61897.255351226435 305.67916772547375 805 20:22
6.0% 360000 -76787.10186018243 14667.100243002236 -62120.0016171802 303.8836515744702 805 20:21
6.0% 365000 -76424.39077232256 14664.14523146196 -61760.2455408606 303.82242749592524 805 20:20
6.1% 370000 -76658.69272972044 14429.989243928349 -62228.70348579209 298.97101342287505 804 20:20
6.2% 375000 -76796.58167162795 14425.958886680077 -62370.622784947875 298.88750954975336 803 20:20
6.3% 380000 -76676.5555265309 14560.496291650832 -62116.059234880064 301.6749533674481 803 20:20
6.4% 385000 -76639.43000438936 14807.874677706985 -61831.55532668238 306.80031871096304 803 20:19
6.4% 390000 -76474.72957852113 14336.676694407177 -62138.05288411395 297.03769614703884 803 20:18
6.5% 395000 -76959.36909488178 14550.7733150809 -62408.59577980088 301.4735056664512 803 20:17
6.6% 400000 -76672.50263419245 14500.474395172687 -62172.02823901977 300.43137605673155 803 20:16
6.7% 405000 -76154.92399448567 14295.945863769264 -61858.9781307164 296.1938051705784 802 20:15
6.8% 410000 -75975.16649658856 14540.127382203487 -61435.03911438507 301.2529354853244 802 20:14
6.9% 415000 -76636.92956389321 14560.719084790791 -62076.21047910242 301.6795693577799 802 20:13
6.9% 420000 -76309.9710867576 14588.891315021152 -61721.079771736455 302.2632621159638 802 20:12
7.0% 425000 -76583.07631015545 14294.486787974845 -62288.5895221806 296.1635749769487 802 20:12
7.1% 430000 -76886.33969661803 14563.918001995766 -62322.421694622266 301.74584685130117 802 20:11
7.2% 435000 -76953.32971366646 14124.888270185531 -62828.44144348093 292.6497095206855 802 20:10
7.3% 440000 -76684.78163990467 14424.340302424376 -62260.4413374803 298.85397454379756 802 20:09
7.4% 445000 -76319.6309591701 14404.75565307393 -61914.87530609617 298.4482055328263 802 20:08
7.4% 450000 -76511.27203338777 14533.013650373578 -61978.25838301419 301.1055480147965 802 20:07
7.5% 455000 -76384.61948378159 14198.312960722313 -62186.30652305928 294.170975667802 801 20:06
7.6% 460000 -76293.0488062673 14553.871786509031 -61739.17701975827 301.5377020513044 801 20:05
7.7% 465000 -77109.65660420357 14421.059961288418 -62688.59664291515 298.78601005004697 802 20:03
7.8% 470000 -76591.80607943807 14251.385536392168 -62340.420543045904 295.270571895128 801 20:03
