#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
5.4% 325000 -76425.9443952642 14704.666370235685 -61721.278025028514 304.6619739238152 795 20:44
5.5% 330000 -75948.89452564088 14387.98247071483 -61560.91205492605 298.10068654002197 795 20:43
5.5% 335000 -75915.82523257434 14211.707612014628 -61704.11762055971 294.44849579644625 794 20:43
5.6% 340000 -75931.74352015695 14413.873799590916 -61517.86972056603 298.6371219248374 794 20:42
5.7% 345000 -75822.79129344982 14520.591556063991 -61302.199737385825 300.8481780291512 794 20:41
5.8% 350000 -75869.70942212231 14477.503540431917 -61392.20588169039 299.95544917938287 794 20:40
5.9% 355000 -76550.49346811423 14311.699042823911 -62238.794425290325 296.5201909929782 794 20:39
6.0% 360000 -76321.21808930411 14289.394646856594 -62031.823442447516 296.0580722932751 794 20:38
6.0% 365000 -75976.2834668962 14334.26708911652 -61642.016377779684 296.987772191898 794 20:37
6.1% 370000 -76415.9049918776 14664.634760283267 -61751.27023159433 303.83256991012473 793 20:36
6.2% 375000 -76174.15147403357 14493.658580629019 -61680.49289340455 300.29016105324285 793 20:36
6.3% 380000 -75969.20945710898 14721.925480334266 -61247.28397677472 305.01956072098625 793 20:35
6.4% 385000 -75953.62168399717 14242.730890647103 -61710.890793350074 295.09125864925664 793 20:35
6.4% 390000 -75369.95740250972 14732.74639516104 -60637.211007348684 305.24375630542056 793 20:34
6.5% 395000 -76016.22911227848 14796.306179375768 -61219.922932902715 306.560634147697 792 20:33
6.6% 400000 -75736.71331708238 14658.013265943 -61078.70005113938 303.69538097395724 792 20:32
6.7% 405000 -76402.99396891407 14515.596037046478 -61887.3979318676 300.7446772324429 792 20:31
6.8% 410000 -76090.09290633802 14635.482522387842 -61454.610383950174 303.2285726402856 792 20:30
6.9% 415000 -76583.55944147301 14347.551419942381 -62236.00802153064 297.2630066208719 792 20:29
