#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
59.1% 325000 -76508.39908882388 14348.488612225752 -62159.910476598125 297.2824240523055 917 0:42
60.0% 330000 -76467.68961901419 14294.52502762712 -62173.16459138707 296.1643672538798 916 0:41
60.9% 335000 -76182.94334801198 14491.8440363249 -61691.09931168708 300.25256600446403 915 0:40
61.8% 340000 -76408.78654282639 14352.139424708328 -62056.64711811806 297.35806424089344 915 0:39
62.7% 345000 -76728.51843454308 14456.530945055049 -62271.98748948803 299.52092369305456 915 0:38
63.6% 350000 -76915.33934022838 14182.281632826725 -62733.05770740166 293.8388269553922 915 0:37
64.5% 355000 -76536.10425012035 14350.649607923002 -62185.45464219735 297.32719713305335 915 0:36
65.5% 360000 -77206.32396545325 14481.345847477238 -62724.97811797602 300.03505689161346 915 0:35
66.4% 365000 -76900.99769877056 14590.606783003763 -62310.390915766795 302.29880442944625 914 0:34
67.3% 370000 -76541.60948708553 14631.73865265427 -61909.87083443126 303.15100442388245 914 0:34
68.2% 375000 -76844.893990351 14627.443183951471 -62217.45080639953 303.06200777880576 913 0:33
69.1% 380000 -76879.17762860387 14082.95628191448 -62796.22134668939 291.7809320866686 913 0:32
70.0% 385000 -76736.16736419978 14522.710730176635 -62213.45663402314 300.8920846198885 912 0:31
70.9% 390000 -76515.4919084562 14789.91217670657 -61725.57973174963 306.4281585494464 912 0:30
71.8% 395000 -76574.67067261104 14537.710127999699 -62036.96054461134 301.2028530544375 912 0:29
72.7% 400000 -76536.30385610466 14566.892529234905 -61969.411326869755 301.80747527029075 912 0:28
73.6% 405000 -76578.92614584113 14952.322044169425 -61626.604101671706 309.79308431927507 912 0:27
74.5% 410000 -76827.09577920384 14604.815905331787 -62222.27987387205 302.59319936144846 912 0:26
75.5% 415000 -76208.36340497092 14276.435827988953 -61931.927576981965 295.7895820578266 911 0:25
76.4% 420000 -76263.54159447156 14428.902322230835 -61834.63927224073 298.9484937885271 911 0:24
77.3% 425000 -76158.38509378574 14548.301253325684 -61610.08384046005 301.4222876928473 910 0:23
78.2% 430000 -76826.14790436157 14512.233504536836 -62313.91439982473 300.67500983802694 910 0:22
79.1% 435000 -76433.72666784804 14292.58947571474 -62141.1371921333 296.12426508145296 910 0:21
80.0% 440000 -76555.31585090529 14567.754801526584 -61987.5610493787 301.8253404548402 910 0:20
