#"Progress (%)" "Step" "Potential Energy (kJ/mole)" "Kinetic Energy (kJ/mole)" "Total Energy (kJ/mole)" "Temperature (K)" "Speed (ns/day)" "Time Remaining"
5.4% 325000 -76937.03535347446 14400.323723541083 -62536.71162993338 298.4334961915112 747 22:04
5.5% 330000 -76273.18996047348 14073.512315176367 -62199.67764529711 291.66062961809433 746 22:04
5.5% 335000 -76351.3792009068 14508.211378979771 -61843.167821927025 300.66936885844564 746 22:03
5.6% 340000 -76856.78124527568 14395.066778908336 -62461.71446636734 298.3245508374932 746 22:02
5.7% 345000 -76266.45646299257 14463.057578206002 -61803.39888478657 299.73359776815954 746 22:01
5.8% 350000 -76558.9885417099 14353.385185169618 -62205.60335654028 297.46073805209414 746 22:00
5.9% 355000 -76596.8516253551 14599.178227516633 -61997.67339783847 302.55457332798125 746 21:59
6.0% 360000 -76723.0388745517 14546.917188411304 -62176.121686140395 301.4715112445013 746 21:58
6.0% 365000 -76280.41922748092 14584.501938064808 -61695.91728941611 302.2504206952827 746 21:57
6.1% 370000 -76393.61376906751 14639.198616994681 -61754.41515207283 303.3839591793115 746 21:56
6.2% 375000 -76996.10888004686 14529.193073582266 -62466.91580646459 301.1041952273841 746 21:55
6.3% 380000 -76568.98733655049 14660.326595188904 -61908.660741361586 303.82181714146634 745 21:54
6.4% 385000 -76497.33574131882 14660.285649245145 -61837.050092073674 303.82096857435175 745 21:53
6.4% 390000 -77006.91268123078 14393.718421064743 -62613.19426016604 298.2966073583669 745 21:53
6.5% 395000 -76596.15663288071 14186.078115212596 -62410.07851766811 293.9934525393936 745 21:52
6.6% 400000 -76740.70725747605 14544.20336830545 -62196.503889170606 301.4152698128659 744 21:52
6.7% 405000 -76779.46017161527 14596.569692302151 -62182.890479313115 302.50051382911573 744 21:51
6.8% 410000 -76269.89319782006 14180.38018969961 -62089.51300812045 293.87536826125347 743 21:51
6.9% 415000 -76593.04775227755 14853.791717815864 -61739.25603446168 307.8312042944994 743 21:50
6.9% 420000 -76949.85168949052 14288.777095898186 -62661.07459359233 296.1217946829248 743 21:49
7.0% 425000 -76688.31858415493 14861.961162834008 -61826.35742132092 308.00050854664784 742 21:49
7.1% 430000 -77193.54960921049 14689.788195906387 -62503.7614133041 304.43238178392255 742 21:48
7.2% 435000 -76549.78544886239 14493.16820195428 -62056.61724690811 300.3576128174196 742 21:48
7.3% 440000 -76661.18427120263 14862.62533617742 -61798.558935025205 308.0142729297795 741 21:47
7.4% 445000 -76566.57174391518 14370.346732403375 -62196.2250115118 297.81225055549106 741 21:47
7.4% 450000 -76323.61310123967 14388.766161350279 -61934.84693988939 298.1939763197174 741 21:46
